UTC TIME SEC  ,CH2 VOLT DC  ,Converted UTC Time,Converted Local Time,Converted Amps,mA
1475537796.848,1.969519,2016-10-03 23:36:36.848,19:36:36.848,0.009059425022999,9.05942502299908
1475537798.176,2.008703,2016-10-03 23:36:38.176,19:36:38.176,0.009239664213431,9.23966421343146
1475537799.475,2.033158,2016-10-03 23:36:39.475,19:36:39.475,0.009352152713891,9.35215271389144
1475537800.774,2.032188,2016-10-03 23:36:40.774,19:36:40.774,0.009347690892364,9.34769089236431
1475537802.071,2.023669,2016-10-03 23:36:42.071,19:36:42.071,0.009308505059798,9.30850505979761
1475537803.37,1.935427,2016-10-03 23:36:43.370,19:36:43.370,0.008902608095676,8.90260809567617
1475537804.931,1.831266,2016-10-03 23:36:44.931,19:36:44.931,0.008423486660534,8.42348666053358
1475537806.235,1.830167,2016-10-03 23:36:46.235,19:36:46.235,0.008418431462741,8.41843146274149
1475537807.595,1.835534,2016-10-03 23:36:47.595,19:36:47.595,0.008443118675253,8.44311867525299
1475537808.922,1.718953,2016-10-03 23:36:48.922,19:36:48.922,0.007906867525299,7.90686752529899
1475537810.22,1.578282,2016-10-03 23:36:50.220,19:36:50.220,0.007259806807728,7.25980680772769
1475537811.518,1.529444,2016-10-03 23:36:51.518,19:36:51.518,0.00703516099356,7.03516099356026
1475537812.816,1.531001,2016-10-03 23:36:52.816,19:36:52.816,0.007042322907084,7.04232290708372
1475537814.115,1.537632,2016-10-03 23:36:54.115,19:36:54.115,0.007072824287029,7.07282428702852
1475537815.669,1.550309,2016-10-03 23:36:55.669,19:36:55.669,0.007131136154554,7.13113615455382
1475537817.03,1.555731,2016-10-03 23:36:57.030,19:36:57.030,0.007156076356946,7.15607635694572
1475537818.358,1.552855,2016-10-03 23:36:58.358,19:36:58.358,0.007142847286109,7.14284728610856
1475537819.656,1.633495,2016-10-03 23:36:59.656,19:36:59.656,0.007513776448942,7.51377644894204
1475537820.953,1.844236,2016-10-03 23:37:00.953,19:37:00.953,0.008483146274149,8.48314627414903
1475537822.256,2.013502,2016-10-03 23:37:02.256,19:37:02.256,0.009261738730451,9.26173873045078
1475537823.554,2.008391,2016-10-03 23:37:03.554,19:37:03.554,0.009238229070837,9.23822907083717
1475537825.116,1.992985,2016-10-03 23:37:05.116,19:37:05.116,0.009167364305428,9.16736430542778
1475537826.478,1.882101,2016-10-03 23:37:06.478,19:37:06.478,0.008657318307268,8.65731830726771
1475537827.808,1.772242,2016-10-03 23:37:07.808,19:37:07.808,0.008151987120515,8.15198712051518
1475537829.104,1.763852,2016-10-03 23:37:09.104,19:37:09.104,0.008113394664213,8.11339466421343
1475537830.403,1.764732,2016-10-03 23:37:10.403,19:37:10.403,0.0081174425023,8.11744250229991
1475537831.703,1.82643,2016-10-03 23:37:11.703,19:37:11.703,0.008401241950322,8.40124195032199
1475537833.001,1.911942,2016-10-03 23:37:13.001,19:37:13.001,0.008794581416743,8.79458141674333
1475537834.3,1.953508,2016-10-03 23:37:14.300,19:37:14.300,0.008985777368905,8.98577736890524
1475537835.848,1.95076,2016-10-03 23:37:15.848,19:37:15.848,0.008973137074517,8.97313707451702
1475537837.225,1.966972,2016-10-03 23:37:17.225,19:37:17.225,0.009047709291628,9.04770929162833
1475537838.553,2.005588,2016-10-03 23:37:18.553,19:37:18.553,0.009225335786569,9.22533578656854
1475537839.851,2.035082,2016-10-03 23:37:19.851,19:37:19.851,0.00936100275989,9.3610027598896
1475537841.15,2.034257,2016-10-03 23:37:21.150,19:37:21.150,0.009357207911684,9.35720791168353
1475537842.445,2.030832,2016-10-03 23:37:22.445,19:37:22.445,0.009341453541858,9.34145354185833
1475537843.745,1.946675,2016-10-03 23:37:23.745,19:37:23.745,0.008954346826127,8.95434682612695
1475537845.294,1.837384,2016-10-03 23:37:25.294,19:37:25.294,0.008451628334867,8.45162833486661
1475537846.654,1.829251,2016-10-03 23:37:26.654,19:37:26.654,0.008414218031279,8.41421803127875
1475537847.985,1.833519,2016-10-03 23:37:27.985,19:37:27.985,0.008433850045998,8.43385004599816
1475537849.281,1.736923,2016-10-03 23:37:29.281,19:37:29.281,0.007989526218951,7.98952621895124
1475537850.579,1.596546,2016-10-03 23:37:30.579,19:37:30.579,0.007343817847286,7.34381784728611
1475537851.877,1.528949,2016-10-03 23:37:31.877,19:37:31.877,0.007032884084637,7.03288408463661
1475537853.18,1.530305,2016-10-03 23:37:33.180,19:37:33.180,0.007039121435143,7.03912143514259
1475537854.478,1.535544,2016-10-03 23:37:34.478,19:37:34.478,0.007063219871205,7.06321987120515
1475537856.028,1.54736,2016-10-03 23:37:36.028,19:37:36.028,0.007117571297148,7.11757129714811
1475537857.39,1.555658,2016-10-03 23:37:37.390,19:37:37.390,0.007155740570377,7.15574057037718
1475537858.719,1.552379,2016-10-03 23:37:38.719,19:37:38.719,0.007140657773689,7.14065777368905
1475537860.018,1.603599,2016-10-03 23:37:40.018,19:37:40.018,0.007376260349586,7.37626034958602
1475537861.317,1.81575,2016-10-03 23:37:41.317,19:37:41.317,0.008352115915363,8.35211591536338
1475537862.615,2.00731,2016-10-03 23:37:42.615,19:37:42.615,0.009233256669733,9.23325666973321
1475537863.913,2.011487,2016-10-03 23:37:43.913,19:37:43.913,0.009252470101196,9.25247010119595
1475537865.473,2.005314,2016-10-03 23:37:45.473,19:37:45.473,0.009224075436983,9.22407543698252
1475537866.835,1.900584,2016-10-03 23:37:46.835,19:37:46.835,0.008742336706532,8.74233670653174
1475537868.165,1.787117,2016-10-03 23:37:48.165,19:37:48.165,0.008220409383625,8.22040938362465
1475537869.465,1.762863,2016-10-03 23:37:49.465,19:37:49.465,0.008108845446182,8.10884544618215
