PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475537671.553,-4.808107E-06, 1.934493E000
1475537672.853,-2.884864E-05, 1.949514E000
1475537674.408,-2.884864E-05, 1.947957E000
1475537675.686,-2.404053E-05, 1.974977E000
1475537677.061,-9.616215E-06, 2.014638E000
1475537678.388,-1.923242E-05, 2.031638E000
1475537679.686,-1.442432E-05, 2.030411E000
1475537680.984,-9.616215E-06, 2.009710E000
1475537682.283,-2.404053E-05, 1.921999E000
1475537683.853,-1.923242E-05, 1.833263E000
1475537685.151,-1.923242E-05, 1.835919E000
1475537686.515,-2.884864E-05, 1.832365E000
1475537687.844,-1.442432E-05, 1.695798E000
1475537689.141, 0.000000E000, 1.558168E000
1475537690.438,-2.404053E-05, 1.535691E000
1475537691.737,-2.884864E-05, 1.537284E000
1475537693.039,-1.442432E-05, 1.541699E000
1475537694.590,-3.365675E-05, 1.553753E000
1475537695.888,-2.884864E-05, 1.556922E000
1475537697.250,-1.923242E-05, 1.555255E000
1475537698.578,-2.404053E-05, 1.672753E000
1475537699.874,-2.884864E-05, 1.876917E000
1475537701.173,-1.442432E-05, 2.003811E000
1475537702.471,-4.808107E-06, 1.996777E000
1475537704.033,-1.442432E-05, 1.970746E000
1475537705.331,-1.923242E-05, 1.867885E000
1475537706.695,-2.404053E-05, 1.768634E000
1475537708.021,-1.442432E-05, 1.770374E000
1475537709.324,-1.442432E-05, 1.771821E000
1475537710.623,-2.404053E-05, 1.844437E000
1475537711.920,-1.923242E-05, 1.926542E000
1475537713.218,-1.442432E-05, 1.950027E000
1475537714.770,-3.365675E-05, 1.946968E000
1475537716.066,-1.923242E-05, 1.970380E000
1475537717.428,-1.442432E-05, 2.010205E000
1475537718.758,-2.404053E-05, 2.031491E000
1475537720.057,-2.884864E-05, 2.029861E000
1475537721.355,-2.884864E-05, 2.016653E000
1475537722.653,-3.846485E-05, 1.927770E000
1475537724.215,-2.884864E-05, 1.831522E000
1475537725.518,-1.442432E-05, 1.834160E000
1475537726.878,-2.884864E-05, 1.836010E000
1475537728.206,-9.616215E-06, 1.706936E000
1475537729.504, 0.000000E000, 1.566814E000
1475537730.800,-3.365675E-05, 1.532485E000
1475537732.097,-1.923242E-05, 1.534976E000
1475537733.395,-9.616215E-06, 1.540527E000
1475537734.948,-9.616215E-06, 1.551793E000
1475537736.246,-1.442432E-05, 1.556446E000
1475537737.608,-4.327297E-05, 1.554284E000
1475537738.936,-3.365675E-05, 1.657218E000
1475537740.233,-2.404053E-05, 1.865687E000
1475537741.536,-1.442432E-05, 2.008281E000
1475537742.834,-1.442432E-05, 1.999342E000
1475537744.393,-1.442432E-05, 1.976150E000
1475537745.687,-9.616215E-06, 1.872282E000
1475537747.051,-9.616215E-06, 1.767992E000
1475537748.380,-9.616215E-06, 1.766838E000
1475537749.678,-2.404053E-05, 1.768286E000
1475537750.976,-2.404053E-05, 1.839253E000
1475537752.273,-9.616215E-06, 1.922732E000
1475537753.573,-1.923242E-05, 1.951456E000
1475537755.134,-1.923242E-05, 1.947609E000
1475537756.495,-1.442432E-05, 1.970673E000
1475537757.826, 0.000000E000, 2.010333E000
1475537759.125,-2.404053E-05, 2.032462E000
1475537760.421, 0.000000E000, 2.030759E000
1475537761.716,-1.923242E-05, 2.018998E000
1475537763.014,-4.808107E-06, 1.930261E000
1475537764.573, 4.808107E-06, 1.830900E000
1475537765.868,-2.884864E-05, 1.832109E000
1475537767.230,-4.808107E-06, 1.836157E000
1475537768.558,-4.808107E-06, 1.711314E000
1475537769.856,-2.884864E-05, 1.569892E000
1475537771.156,-1.923242E-05, 1.530048E000
1475537772.453,-1.442432E-05, 1.533217E000
1475537773.756,-2.404053E-05, 1.539592E000
1475537775.305,-9.616215E-06, 1.551188E000
1475537776.666,-2.404053E-05, 1.556043E000
1475537777.995,-2.884864E-05, 1.553313E000
1475537779.294,-1.923242E-05, 1.650294E000
1475537780.590,-1.923242E-05, 1.860338E000
1475537781.890,-2.404053E-05, 2.010498E000
1475537783.186,-1.442432E-05, 2.004324E000
1475537784.750,-1.923242E-05, 1.982232E000
1475537786.046,-2.404053E-05, 1.875488E000
1475537787.411,-1.442432E-05, 1.768359E000
1475537788.738,-9.616215E-06, 1.764292E000
1475537790.040,-2.404053E-05, 1.766325E000
1475537791.340,-9.616215E-06, 1.835589E000
1475537792.638,-1.923242E-05, 1.920314E000
1475537793.936,-2.404053E-05, 1.952262E000
1475537795.486,-1.442432E-05, 1.948745E000
1475537796.848,-9.616215E-06, 1.969519E000
1475537798.176,-2.404053E-05, 2.008703E000
1475537799.475,-2.884864E-05, 2.033158E000
1475537800.774,-2.404053E-05, 2.032188E000
1475537802.071,-1.923242E-05, 2.023669E000
1475537803.370,-2.884864E-05, 1.935427E000
1475537804.931,-2.404053E-05, 1.831266E000
1475537806.235,-1.442432E-05, 1.830167E000
1475537807.595,-2.404053E-05, 1.835534E000
1475537808.922,-1.442432E-05, 1.718953E000
1475537810.220,-9.616215E-06, 1.578282E000
1475537811.518,-2.884864E-05, 1.529444E000
1475537812.816,-1.442432E-05, 1.531001E000
1475537814.115,-1.923242E-05, 1.537632E000
1475537815.669,-1.442432E-05, 1.550309E000
1475537817.030,-1.442432E-05, 1.555731E000
1475537818.358,-9.616215E-06, 1.552855E000
1475537819.656,-4.808107E-06, 1.633495E000
1475537820.953,-1.442432E-05, 1.844236E000
1475537822.256,-1.923242E-05, 2.013502E000
1475537823.554,-2.884864E-05, 2.008391E000
1475537825.116,-9.616215E-06, 1.992985E000
1475537826.478,-1.442432E-05, 1.882101E000
1475537827.808,-2.404053E-05, 1.772242E000
1475537829.104,-9.616215E-06, 1.763852E000
1475537830.403,-2.404053E-05, 1.764732E000
1475537831.703,-1.442432E-05, 1.826430E000
1475537833.001,-9.616215E-06, 1.911942E000
1475537834.300, 0.000000E000, 1.953508E000
1475537835.848,-4.808107E-06, 1.950760E000
1475537837.225,-1.923242E-05, 1.966972E000
1475537838.553,-1.923242E-05, 2.005588E000
1475537839.851,-9.616215E-06, 2.035082E000
1475537841.150,-9.616215E-06, 2.034257E000
1475537842.445,-9.616215E-06, 2.030832E000
1475537843.745,-9.616215E-06, 1.946675E000
1475537845.294,-3.365675E-05, 1.837384E000
1475537846.654,-9.616215E-06, 1.829251E000
1475537847.985,-1.442432E-05, 1.833519E000
1475537849.281,-1.923242E-05, 1.736923E000
1475537850.579,-1.442432E-05, 1.596546E000
1475537851.877,-9.616215E-06, 1.528949E000
1475537853.180,-1.923242E-05, 1.530305E000
1475537854.478,-4.808107E-06, 1.535544E000
1475537856.028,-2.884864E-05, 1.547360E000
1475537857.390,-1.923242E-05, 1.555658E000
1475537858.719,-2.404053E-05, 1.552379E000
1475537860.018,-2.404053E-05, 1.603599E000
1475537861.317,-2.884864E-05, 1.815750E000
1475537862.615,-1.923242E-05, 2.007310E000
1475537863.913,-2.404053E-05, 2.011487E000
1475537865.473,-1.442432E-05, 2.005314E000
1475537866.835,-1.442432E-05, 1.900584E000
1475537868.165,-2.404053E-05, 1.787117E000
1475537869.465,-2.404053E-05, 1.762863E000
1475537870.765,-1.442432E-05, 1.763303E000
1475537872.063,-1.923242E-05, 1.812819E000
1475537873.361,-1.923242E-05, 1.897928E000
1475537874.658,-1.442432E-05, 1.953581E000
1475537876.208,-1.442432E-05, 1.950870E000
1475537877.568, 0.000000E000, 1.961275E000
1475537878.893,-2.404053E-05, 1.999671E000
1475537880.191,-4.808107E-06, 2.033708E000
1475537881.490,-1.923242E-05, 2.033855E000
1475537882.790,-1.923242E-05, 2.034056E000
1475537884.086,-1.442432E-05, 1.961934E000
1475537885.653,-1.923242E-05, 1.850061E000
1475537887.015,-4.808107E-06, 1.827199E000
1475537888.345,-2.404053E-05, 1.831376E000
1475537889.641,-2.884864E-05, 1.758100E000
1475537890.940,-9.616215E-06, 1.618052E000
1475537892.238,-9.616215E-06, 1.528436E000
1475537893.536,-1.442432E-05, 1.529224E000
1475537894.835,-4.808107E-06, 1.533053E000
