Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/I&O_Epander/I&O_Epander.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-30 23:01:14

Title,Interactive Rainbow
Company,Sembazuru Circuits (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-19
Comment,2.0.0 Split schematic up for 4 individual PWB designs
Comment,2.0.1 Implement differential signalling for inter-board communication.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Library","Library Ref"
"C6","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C7","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C8","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C9","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C10","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C12","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C14","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C15","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C17","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C13","10µF","CPL-CAP-TANT-THT-10UF-50V","AVX","TAP106K050SCS","JEDEC footprint name","TAP106K050SCS","https://octopart.com/tap106k050scs-avx-9633","581-TAP106K050SCS","Source2 Product Link","1µF / Tantalum / 10% / 50WVDC","Power noise filter.","N","ANY","Roughly 10µF minimum 15WVDC","NewUnsorted","CAP_P"
"C16","10µF","CPL-CAP-TANT-THT-10UF-50V","AVX","TAP106K050SCS","JEDEC footprint name","TAP106K050SCS","https://octopart.com/tap106k050scs-avx-9633","581-TAP106K050SCS","Source2 Product Link","1µF / Tantalum / 10% / 50WVDC","Power noise filter.","N","ANY","Roughly 10µF minimum 15WVDC","NewUnsorted","CAP_P"
