UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475545170.385,-5.224385E-32, 1.509037E000
1475545171.678,-2.404053E-05, 1.501947E000
1475545172.970,-9.616215E-06, 1.503229E000
1475545174.260,-3.365675E-05, 1.534372E000
1475545175.551,-9.616215E-06, 1.587405E000
1475545176.848,-1.923242E-05, 1.626442E000
1475545178.205,-1.442432E-05, 1.627340E000
1475545179.811,-1.442432E-05, 1.642343E000
1475545181.103,-2.404053E-05, 1.698601E000
1475545182.396,-4.808107E-06, 1.752989E000
1475545183.688,-2.404053E-05, 1.757367E000
1475545184.980,-2.884864E-05, 1.757313E000
1475545186.270,-2.404053E-05, 1.657969E000
1475545187.626,-4.808107E-06, 1.479745E000
1475545189.248,-1.923242E-05, 1.363365E000
1475545190.540,-1.923242E-05, 1.361588E000
1475545191.830,-1.442432E-05, 1.343104E000
1475545193.126,-4.808107E-06, 1.267484E000
1475545194.416,-1.923242E-05, 1.206647E000
1475545195.709,-1.442432E-05, 1.205786E000
1475545197.003,-1.923242E-05, 1.205328E000
1475545198.359,-3.365675E-05, 1.216429E000
1475545199.968,-1.923242E-05, 1.239547E000
1475545201.258,-1.923242E-05, 1.239712E000
1475545202.548,-1.923242E-05, 1.238723E000
1475545203.841,-2.404053E-05, 1.352941E000
1475545205.132,-3.846485E-05, 1.526311E000
1475545206.423,-4.808107E-06, 1.634265E000
1475545207.778,-2.404053E-05, 1.630949E000
1475545209.403,-2.404053E-05, 1.614205E000
1475545210.695,-1.442432E-05, 1.556043E000
1475545211.988,-2.884864E-05, 1.503596E000
1475545213.281,-9.616215E-06, 1.503651E000
1475545214.571,-1.442432E-05, 1.503449E000
1475545215.863,-2.404053E-05, 1.543183E000
1475545217.155,-4.327297E-05, 1.597608E000
1475545218.512,-2.404053E-05, 1.628054E000
1475545220.121,-1.442432E-05, 1.628164E000
1475545221.413,-2.884864E-05, 1.652418E000
1475545222.705,-9.616215E-06, 1.708658E000
1475545223.998,-1.923242E-05, 1.757807E000
1475545225.294,-1.923242E-05, 1.757734E000
1475545226.585,-2.404053E-05, 1.757862E000
1475545227.941,-3.365675E-05, 1.624940E000
1475545229.557,-2.884864E-05, 1.407880E000
1475545230.848,-2.404053E-05, 1.361478E000
1475545232.140,-1.442432E-05, 1.361203E000
1475545233.433,-3.365675E-05, 1.332644E000
1475545234.723,-2.884864E-05, 1.260119E000
1475545236.015,-1.442432E-05, 1.206262E000
1475545237.308,-1.923242E-05, 1.206610E000
1475545238.665,-3.365675E-05, 1.205786E000
1475545240.276,-3.846485E-05, 1.220074E000
1475545241.567,-9.616215E-06, 1.240720E000
1475545242.859,-1.923242E-05, 1.239529E000
1475545244.151,-2.884864E-05, 1.239254E000
1475545245.435,-1.442432E-05, 1.374118E000
1475545246.678,-1.923242E-05, 1.541388E000
1475545248.035,-3.365675E-05, 1.633513E000
1475545249.738,-1.923242E-05, 1.631040E000
1475545250.388,-3.846485E-05, 1.629392E000
